Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.9613807477E+01   -0.7960979231E+01   -0.1652828246E+01
   -0.6312331187E+01   -0.6927470445E+01    0.6151392583E+00
   -0.7943111118E+01   -0.7315036240E+01   -0.6280748779E+00
   -0.7383374647E+01   -0.7960979231E+01    0.5776045845E+00
   -0.7718110660E+01   -0.9252865214E+01    0.1534754554E+01
   -0.6571997583E+01   -0.6927470445E+01    0.3554728620E+00
   -0.6898002988E+01   -0.7315036240E+01    0.4170332526E+00
   -0.6394871774E+01   -0.6927470445E+01    0.5325986712E+00
   -0.1054975115E+02   -0.9252865214E+01   -0.1296885933E+01
   -0.6373662448E+01   -0.6927470445E+01    0.5538079970E+00
   -0.6749555664E+01   -0.6927470445E+01    0.1779147810E+00
   -0.8623665436E+01   -0.9252865214E+01    0.6291997783E+00
   -0.6507302713E+01   -0.6927470445E+01    0.4201677326E+00
   -0.7120824745E+01   -0.7315036240E+01    0.1942114954E+00
   -0.8625335350E+01   -0.9252865214E+01    0.6275298642E+00
   -0.9408791311E+01   -0.7960979231E+01   -0.1447812079E+01
   -0.7014895155E+01   -0.7960979231E+01    0.9460840770E+00
   -0.6832555046E+01   -0.7315036240E+01    0.4824811937E+00
   -0.6268008875E+01   -0.6927470445E+01    0.6594615701E+00
   -0.6385930370E+01   -0.6927470445E+01    0.5415400755E+00
   -0.6577948061E+01   -0.6927470445E+01    0.3495223838E+00
   -0.8896259826E+01   -0.9252865214E+01    0.3566053886E+00
   -0.7862267224E+01   -0.7315036240E+01   -0.5472309836E+00
   -0.8302081812E+01   -0.9252865214E+01    0.9507834024E+00
   -0.7571343657E+01   -0.6927470445E+01   -0.6438732120E+00
   -0.6552110866E+01   -0.7315036240E+01    0.7629253743E+00
   -0.8269552169E+01   -0.7315036240E+01   -0.9545159284E+00
   -0.7998399398E+01   -0.9252865214E+01    0.1254465816E+01
   -0.6184612498E+01   -0.7315036240E+01    0.1130423742E+01
   -0.8456568570E+01   -0.7960979231E+01   -0.4955893381E+00
   -0.7889384852E+01   -0.7960979231E+01    0.7159437933E-01
   -0.7881410328E+01   -0.7960979231E+01    0.7956890325E-01
   -0.9358840380E+01   -0.7960979231E+01   -0.1397861149E+01
   -0.7046327929E+01   -0.7315036240E+01    0.2687083113E+00
   -0.6846001883E+01   -0.7960979231E+01    0.1114977349E+01
   -0.8477011402E+01   -0.7960979231E+01   -0.5160321703E+00
   -0.7322816281E+01   -0.9252865214E+01    0.1930048933E+01
   -0.6679345618E+01   -0.7315036240E+01    0.6356906221E+00
   -0.6679982459E+01   -0.6927470445E+01    0.2474879860E+00
   -0.9038069151E+01   -0.7315036240E+01   -0.1723032911E+01
   -0.8249458757E+01   -0.7960979231E+01   -0.2884795253E+00
   -0.7499790958E+01   -0.7315036240E+01   -0.1847547180E+00
   -0.6427986980E+01   -0.6927470445E+01    0.4994834656E+00
   -0.7389022101E+01   -0.7960979231E+01    0.5719571310E+00
   -0.8537395899E+01   -0.9252865214E+01    0.7154693155E+00
   -0.9042286787E+01   -0.9252865214E+01    0.2105784273E+00
   -0.7387890055E+01   -0.6927470445E+01   -0.4604196101E+00
   -0.7163938684E+01   -0.7315036240E+01    0.1510975557E+00
   -0.8976059076E+01   -0.9252865214E+01    0.2768061380E+00
   -0.7460618914E+01   -0.7960979231E+01    0.5003603174E+00
   -0.7867214506E+01   -0.7315036240E+01   -0.5521782661E+00
   -0.8487634389E+01   -0.7960979231E+01   -0.5266551577E+00
   -0.6303985910E+01   -0.6927470445E+01    0.6234845357E+00
   -0.9121414163E+01   -0.7960979231E+01   -0.1160434931E+01
   -0.6898201066E+01   -0.7315036240E+01    0.4168351739E+00
   -0.9405139450E+01   -0.9252865214E+01   -0.1522742360E+00
   -0.7618455619E+01   -0.7960979231E+01    0.3425236127E+00
   -0.9965362956E+01   -0.9252865214E+01   -0.7124977420E+00
   -0.6030246956E+01   -0.6927470445E+01    0.8972234890E+00
   -0.6554777160E+01   -0.6927470445E+01    0.3726932854E+00
   -0.7002505616E+01   -0.7315036240E+01    0.3125306246E+00
   -0.7457841617E+01   -0.6927470445E+01   -0.5303711714E+00
   -0.7328131000E+01   -0.7960979231E+01    0.6328482317E+00
   -0.6962528305E+01   -0.7960979231E+01    0.9984509267E+00
   -0.6948264822E+01   -0.7315036240E+01    0.3667714178E+00
   -0.9055047488E+01   -0.9252865214E+01    0.1978177267E+00
   -0.7403363937E+01   -0.6927470445E+01   -0.4758934917E+00
   -0.6987664662E+01   -0.7315036240E+01    0.3273715779E+00
   -0.7625605072E+01   -0.7960979231E+01    0.3353741593E+00
   -0.7509052806E+01   -0.7315036240E+01   -0.1940165658E+00
Prediction RMSE and MaxAE:         0.7025235814        1.9300489335
Predictions (y,pred,y-pred) by the model of dimension:     2
   -0.8134314582E+01   -0.7680186003E+01   -0.4541285787E+00
   -0.8581731713E+01   -0.8707363833E+01    0.1256321207E+00
   -0.8349985272E+01   -0.7876913937E+01   -0.4730713351E+00
   -0.9042286787E+01   -0.7967617448E+01   -0.1074669339E+01
   -0.8114064143E+01   -0.9043887156E+01    0.9298230126E+00
   -0.7575234713E+01   -0.7689503469E+01    0.1142687559E+00
   -0.8858276041E+01   -0.9867940437E+01    0.1009664397E+01
   -0.8206771632E+01   -0.8729074456E+01    0.5223028239E+00
   -0.7090596971E+01   -0.6610211859E+01   -0.4803851121E+00
   -0.8087686089E+01   -0.7893121892E+01   -0.1945641966E+00
   -0.7906069846E+01   -0.8257668999E+01    0.3515991530E+00
   -0.6809993561E+01   -0.7161600371E+01    0.3516068095E+00
   -0.6906955599E+01   -0.6451013821E+01   -0.4559417779E+00
   -0.7804243384E+01   -0.8296296324E+01    0.4920529409E+00
   -0.6855732251E+01   -0.6876742126E+01    0.2100987486E-01
   -0.9137089910E+01   -0.9036879055E+01   -0.1002108549E+00
   -0.9214348393E+01   -0.8511159094E+01   -0.7031892990E+00
   -0.7791820864E+01   -0.8242436377E+01    0.4506155139E+00
   -0.9019720012E+01   -0.9084357556E+01    0.6463754371E-01
   -0.6707839414E+01   -0.6308852505E+01   -0.3989869092E+00
   -0.9875872386E+01   -0.9186631677E+01   -0.6892407088E+00
   -0.6821852850E+01   -0.6508402990E+01   -0.3134498603E+00
   -0.6432391043E+01   -0.6535793558E+01    0.1034025145E+00
   -0.6191721995E+01   -0.6637107514E+01    0.4453855190E+00
   -0.8992812559E+01   -0.9152783103E+01    0.1599705440E+00
   -0.6608317576E+01   -0.6429513232E+01   -0.1788043436E+00
   -0.7229476844E+01   -0.7831872753E+01    0.6023959091E+00
   -0.8188609128E+01   -0.7803334401E+01   -0.3852747265E+00
   -0.9020546800E+01   -0.8750284310E+01   -0.2702624906E+00
   -0.6418745908E+01   -0.6649116817E+01    0.2303709084E+00
   -0.7713399491E+01   -0.7782173178E+01    0.6877368728E-01
   -0.7565921491E+01   -0.7571444565E+01    0.5523074220E-02
   -0.9242863564E+01   -0.8989444700E+01   -0.2534188636E+00
   -0.8086385276E+01   -0.8131600446E+01    0.4521517085E-01
   -0.7201857919E+01   -0.7867374021E+01    0.6655161017E+00
   -0.7981284787E+01   -0.9044350684E+01    0.1063065896E+01
   -0.6347625338E+01   -0.6510972742E+01    0.1633474049E+00
   -0.6493594753E+01   -0.6363019051E+01   -0.1305757017E+00
   -0.7607725685E+01   -0.7718007673E+01    0.1102819879E+00
   -0.7330570025E+01   -0.7386298277E+01    0.5572825188E-01
   -0.6723934846E+01   -0.6607154782E+01   -0.1167800640E+00
   -0.9136160974E+01   -0.8582621712E+01   -0.5535392621E+00
   -0.7070862617E+01   -0.6860671435E+01   -0.2101911817E+00
   -0.7404349321E+01   -0.7422787307E+01    0.1843798636E-01
   -0.8429182314E+01   -0.7253011933E+01   -0.1176170381E+01
   -0.6856396987E+01   -0.6679674826E+01   -0.1767221608E+00
   -0.7863826881E+01   -0.7804830863E+01   -0.5899601754E-01
   -0.7867736699E+01   -0.7354546616E+01   -0.5131900834E+00
   -0.9480837620E+01   -0.9084357556E+01   -0.3964800636E+00
   -0.9613807477E+01   -0.8825276502E+01   -0.7885309751E+00
   -0.6312331187E+01   -0.6790822195E+01    0.4784910079E+00
   -0.7943111118E+01   -0.8279741757E+01    0.3366306386E+00
   -0.7383374647E+01   -0.7654813369E+01    0.2714387219E+00
   -0.7718110660E+01   -0.8088876205E+01    0.3707655450E+00
   -0.6571997583E+01   -0.6227183303E+01   -0.3448142804E+00
   -0.6898002988E+01   -0.7091951509E+01    0.1939485211E+00
   -0.6394871774E+01   -0.6050601245E+01   -0.3442705290E+00
   -0.1054975115E+02   -0.1018864656E+02   -0.3611045838E+00
   -0.6373662448E+01   -0.6556961332E+01    0.1832988839E+00
   -0.6749555664E+01   -0.6313267056E+01   -0.4362886083E+00
   -0.8623665436E+01   -0.8706306407E+01    0.8264097087E-01
   -0.6507302713E+01   -0.6673792436E+01    0.1664897234E+00
   -0.7120824745E+01   -0.7113196537E+01   -0.7628207233E-02
   -0.8625335350E+01   -0.8726326398E+01    0.1009910476E+00
   -0.9408791311E+01   -0.8922518034E+01   -0.4862732764E+00
   -0.7014895155E+01   -0.7715160287E+01    0.7002651326E+00
   -0.6832555046E+01   -0.7081202076E+01    0.2486470295E+00
   -0.6268008875E+01   -0.6220815312E+01   -0.4719356271E-01
   -0.6385930370E+01   -0.6567931492E+01    0.1820011227E+00
   -0.6577948061E+01   -0.6481020011E+01   -0.9692805055E-01
   -0.8896259826E+01   -0.8875637564E+01   -0.2062226186E-01
   -0.7862267224E+01   -0.7375862348E+01   -0.4864048753E+00
   -0.8302081812E+01   -0.9065695040E+01    0.7636132280E+00
   -0.7571343657E+01   -0.7742566377E+01    0.1712227198E+00
   -0.6552110866E+01   -0.7003196952E+01    0.4510860860E+00
   -0.8269552169E+01   -0.7889649918E+01   -0.3799022503E+00
   -0.7998399398E+01   -0.9075418089E+01    0.1077018691E+01
   -0.6184612498E+01   -0.6362656574E+01    0.1780440754E+00
   -0.8456568570E+01   -0.7705503456E+01   -0.7510651138E+00
   -0.7889384852E+01   -0.7754847105E+01   -0.1345377476E+00
   -0.7881410328E+01   -0.7861955159E+01   -0.1945516923E-01
   -0.9358840380E+01   -0.8537646403E+01   -0.8211939773E+00
   -0.7046327929E+01   -0.6780637341E+01   -0.2656905880E+00
   -0.6846001883E+01   -0.7287500616E+01    0.4414987333E+00
   -0.8477011402E+01   -0.7186793661E+01   -0.1290217741E+01
   -0.7322816281E+01   -0.8848918491E+01    0.1526102210E+01
   -0.6679345618E+01   -0.6945719492E+01    0.2663738741E+00
   -0.6679982459E+01   -0.6417251815E+01   -0.2627306440E+00
   -0.9038069151E+01   -0.8166618876E+01   -0.8714502752E+00
   -0.8249458757E+01   -0.8471428131E+01    0.2219693746E+00
   -0.7499790958E+01   -0.6977449081E+01   -0.5223418776E+00
   -0.6427986980E+01   -0.6723820340E+01    0.2958333607E+00
   -0.7389022101E+01   -0.7760409439E+01    0.3713873389E+00
   -0.8537395899E+01   -0.8994686980E+01    0.4572910811E+00
   -0.9042286787E+01   -0.8896739120E+01   -0.1455476673E+00
   -0.7387890055E+01   -0.7937821987E+01    0.5499319320E+00
   -0.7163938684E+01   -0.7214731221E+01    0.5079253633E-01
   -0.8976059076E+01   -0.9164536847E+01    0.1884777704E+00
   -0.7460618914E+01   -0.7520831733E+01    0.6021281847E-01
   -0.7867214506E+01   -0.8091152119E+01    0.2239376126E+00
   -0.8487634389E+01   -0.8899639621E+01    0.4120052323E+00
   -0.6303985910E+01   -0.6510972742E+01    0.2069868329E+00
   -0.9121414163E+01   -0.8389758930E+01   -0.7316552331E+00
   -0.6898201066E+01   -0.7076412288E+01    0.1782112214E+00
   -0.9405139450E+01   -0.9058609685E+01   -0.3465297655E+00
   -0.7618455619E+01   -0.7756270797E+01    0.1378151787E+00
   -0.9965362956E+01   -0.9275993234E+01   -0.6893697220E+00
   -0.6030246956E+01   -0.6178899146E+01    0.1486521902E+00
   -0.6554777160E+01   -0.6689331657E+01    0.1345544973E+00
   -0.7002505616E+01   -0.6696992627E+01   -0.3055129882E+00
   -0.7457841617E+01   -0.7870378678E+01    0.4125370611E+00
   -0.7328131000E+01   -0.7995042849E+01    0.6669118488E+00
   -0.6962528305E+01   -0.7675153415E+01    0.7126251098E+00
   -0.6948264822E+01   -0.6988750332E+01    0.4048550997E-01
   -0.9055047488E+01   -0.9063863001E+01    0.8815513429E-02
   -0.7403363937E+01   -0.7183673128E+01   -0.2196908091E+00
   -0.6987664662E+01   -0.6861567105E+01   -0.1260975570E+00
   -0.7625605072E+01   -0.7388042025E+01   -0.2375630471E+00
   -0.7509052806E+01   -0.7294193147E+01   -0.2148596592E+00
Prediction RMSE and MaxAE:         0.4716287421        1.5261022104
Predictions (y,pred,y-pred) by the model of dimension:     3
   -0.8134314582E+01   -0.7948748739E+01   -0.1855658425E+00
   -0.8581731713E+01   -0.8861760142E+01    0.2800284291E+00
   -0.8349985272E+01   -0.8281623666E+01   -0.6836160659E-01
   -0.9042286787E+01   -0.8074125136E+01   -0.9681616512E+00
   -0.8114064143E+01   -0.8710002354E+01    0.5959382113E+00
   -0.7575234713E+01   -0.7773468255E+01    0.1982335419E+00
   -0.8858276041E+01   -0.9390403064E+01    0.5321270237E+00
   -0.8206771632E+01   -0.8874634978E+01    0.6678633457E+00
   -0.7090596971E+01   -0.6858622892E+01   -0.2319740786E+00
   -0.8087686089E+01   -0.8018629941E+01   -0.6905614756E-01
   -0.7906069846E+01   -0.8306615791E+01    0.4005459442E+00
   -0.6809993561E+01   -0.6914532347E+01    0.1045387863E+00
   -0.6906955599E+01   -0.6628128551E+01   -0.2788270473E+00
   -0.7804243384E+01   -0.8097763059E+01    0.2935196759E+00
   -0.6855732251E+01   -0.6546122107E+01   -0.3096101443E+00
   -0.9137089910E+01   -0.8970882498E+01   -0.1662074119E+00
   -0.9214348393E+01   -0.8900405139E+01   -0.3139432540E+00
   -0.7791820864E+01   -0.8844741707E+01    0.1052920843E+01
   -0.9019720012E+01   -0.8917506818E+01   -0.1022131945E+00
   -0.6707839414E+01   -0.6744957317E+01    0.3711790296E-01
   -0.9875872386E+01   -0.8882864569E+01   -0.9930078162E+00
   -0.6821852850E+01   -0.7203082011E+01    0.3812291610E+00
   -0.6432391043E+01   -0.6248764225E+01   -0.1836268181E+00
   -0.6191721995E+01   -0.6257712489E+01    0.6599049456E-01
   -0.8992812559E+01   -0.9190275201E+01    0.1974626415E+00
   -0.6608317576E+01   -0.6668530087E+01    0.6021251141E-01
   -0.7229476844E+01   -0.7546899734E+01    0.3174228900E+00
   -0.8188609128E+01   -0.8101211278E+01   -0.8739784995E-01
   -0.9020546800E+01   -0.8657169981E+01   -0.3633768190E+00
   -0.6418745908E+01   -0.6376553457E+01   -0.4219245174E-01
   -0.7713399491E+01   -0.8159902924E+01    0.4465034332E+00
   -0.7565921491E+01   -0.7424152160E+01   -0.1417693308E+00
   -0.9242863564E+01   -0.9068596849E+01   -0.1742667151E+00
   -0.8086385276E+01   -0.8212701478E+01    0.1263162028E+00
   -0.7201857919E+01   -0.7467247552E+01    0.2653896325E+00
   -0.7981284787E+01   -0.8710347658E+01    0.7290628705E+00
   -0.6347625338E+01   -0.6163748848E+01   -0.1838764895E+00
   -0.6493594753E+01   -0.6785308489E+01    0.2917137368E+00
   -0.7607725685E+01   -0.7422502832E+01   -0.1852228527E+00
   -0.7330570025E+01   -0.7508023122E+01    0.1774530971E+00
   -0.6723934846E+01   -0.6856345534E+01    0.1324106880E+00
   -0.9136160974E+01   -0.9098161540E+01   -0.3799943397E-01
   -0.7070862617E+01   -0.6823406828E+01   -0.2474557891E+00
   -0.7404349321E+01   -0.7796574035E+01    0.3922247142E+00
   -0.8429182314E+01   -0.7940933549E+01   -0.4882487654E+00
   -0.6856396987E+01   -0.6688574059E+01   -0.1678229278E+00
   -0.7863826881E+01   -0.7686757056E+01   -0.1770698250E+00
   -0.7867736699E+01   -0.7816995841E+01   -0.5074085836E-01
   -0.9480837620E+01   -0.9139301837E+01   -0.3415357826E+00
   -0.9613807477E+01   -0.8746297744E+01   -0.8675097332E+00
   -0.6312331187E+01   -0.6372221685E+01    0.5989049764E-01
   -0.7943111118E+01   -0.8323058811E+01    0.3799476931E+00
   -0.7383374647E+01   -0.7250625188E+01   -0.1327494594E+00
   -0.7718110660E+01   -0.8730347612E+01    0.1012236952E+01
   -0.6571997583E+01   -0.6129697118E+01   -0.4423004658E+00
   -0.6898002988E+01   -0.6706441557E+01   -0.1915614302E+00
   -0.6394871774E+01   -0.6752149578E+01    0.3572778040E+00
   -0.1054975115E+02   -0.1018373296E+02   -0.3660181922E+00
   -0.6373662448E+01   -0.6264533082E+01   -0.1091293661E+00
   -0.6749555664E+01   -0.6748245921E+01   -0.1309743445E-02
   -0.8623665436E+01   -0.8857674002E+01    0.2340085660E+00
   -0.6507302713E+01   -0.6351565990E+01   -0.1557367225E+00
   -0.7120824745E+01   -0.7121419169E+01    0.5944244377E-03
   -0.8625335350E+01   -0.8650792802E+01    0.2545745230E-01
   -0.9408791311E+01   -0.9127547453E+01   -0.2812438574E+00
   -0.7014895155E+01   -0.7353856482E+01    0.3389613272E+00
   -0.6832555046E+01   -0.6764959007E+01   -0.6759603935E-01
   -0.6268008875E+01   -0.6346748325E+01    0.7873945022E-01
   -0.6385930370E+01   -0.6206180063E+01   -0.1797503071E+00
   -0.6577948061E+01   -0.6540586874E+01   -0.3736118788E-01
   -0.8896259826E+01   -0.8762021615E+01   -0.1342382106E+00
   -0.7862267224E+01   -0.7317091114E+01   -0.5451761095E+00
   -0.8302081812E+01   -0.8792773259E+01    0.4906914477E+00
   -0.7571343657E+01   -0.7812997276E+01    0.2416536188E+00
   -0.6552110866E+01   -0.6640324172E+01    0.8821330569E-01
   -0.8269552169E+01   -0.8032461308E+01   -0.2370908603E+00
   -0.7998399398E+01   -0.8733491209E+01    0.7350918113E+00
   -0.6184612498E+01   -0.6340512121E+01    0.1558996224E+00
   -0.8456568570E+01   -0.7878864266E+01   -0.5777043033E+00
   -0.7889384852E+01   -0.8004367257E+01    0.1149824044E+00
   -0.7881410328E+01   -0.7862361995E+01   -0.1904833355E-01
   -0.9358840380E+01   -0.8698341745E+01   -0.6604986356E+00
   -0.7046327929E+01   -0.6968678386E+01   -0.7764954273E-01
   -0.6846001883E+01   -0.7035272958E+01    0.1892710751E+00
   -0.8477011402E+01   -0.7802859869E+01   -0.6741515327E+00
   -0.7322816281E+01   -0.8540545980E+01    0.1217729700E+01
   -0.6679345618E+01   -0.6597506546E+01   -0.8183907206E-01
   -0.6679982459E+01   -0.6588080974E+01   -0.9190148550E-01
   -0.9038069151E+01   -0.8460583350E+01   -0.5774858012E+00
   -0.8249458757E+01   -0.8649012683E+01    0.3995539262E+00
   -0.7499790958E+01   -0.7153344994E+01   -0.3464459641E+00
   -0.6427986980E+01   -0.6322308896E+01   -0.1056780841E+00
   -0.7389022101E+01   -0.7454089875E+01    0.6506777421E-01
   -0.8537395899E+01   -0.8673350861E+01    0.1359549627E+00
   -0.9042286787E+01   -0.9369150177E+01    0.3268633905E+00
   -0.7387890055E+01   -0.7958452236E+01    0.5705621809E+00
   -0.7163938684E+01   -0.6864431060E+01   -0.2995076242E+00
   -0.8976059076E+01   -0.8977236090E+01    0.1177013859E-02
   -0.7460618914E+01   -0.7323116323E+01   -0.1375025915E+00
   -0.7867214506E+01   -0.8071738659E+01    0.2045241525E+00
   -0.8487634389E+01   -0.8635381279E+01    0.1477468895E+00
   -0.6303985910E+01   -0.6163748848E+01   -0.1402370615E+00
   -0.9121414163E+01   -0.8794135528E+01   -0.3272786345E+00
   -0.6898201066E+01   -0.6761390872E+01   -0.1368101946E+00
   -0.9405139450E+01   -0.9452747057E+01    0.4760760707E-01
   -0.7618455619E+01   -0.7783632812E+01    0.1651771933E+00
   -0.9965362956E+01   -0.9282060142E+01   -0.6833028144E+00
   -0.6030246956E+01   -0.5916371825E+01   -0.1138751316E+00
   -0.6554777160E+01   -0.6473972861E+01   -0.8080429877E-01
   -0.7002505616E+01   -0.6589574554E+01   -0.4129310619E+00
   -0.7457841617E+01   -0.8019041571E+01    0.5611999546E+00
   -0.7328131000E+01   -0.7739710168E+01    0.4115791682E+00
   -0.6962528305E+01   -0.7324053507E+01    0.3615252021E+00
   -0.6948264822E+01   -0.6696087415E+01   -0.2521774070E+00
   -0.9055047488E+01   -0.9345829512E+01    0.2907820242E+00
   -0.7403363937E+01   -0.7655301754E+01    0.2519378169E+00
   -0.6987664662E+01   -0.6933968734E+01   -0.5369592777E-01
   -0.7625605072E+01   -0.7287527102E+01   -0.3380779704E+00
   -0.7509052806E+01   -0.7256251938E+01   -0.2528008679E+00
Prediction RMSE and MaxAE:         0.3774299661        1.2177296997
