Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.9613807477E+01   -0.7960979231E+01   -0.1652828246E+01
   -0.6312331187E+01   -0.6927470445E+01    0.6151392583E+00
   -0.7943111118E+01   -0.7315036240E+01   -0.6280748779E+00
   -0.7383374647E+01   -0.7960979231E+01    0.5776045845E+00
   -0.7718110660E+01   -0.9252865214E+01    0.1534754554E+01
   -0.6571997583E+01   -0.6927470445E+01    0.3554728620E+00
   -0.6898002988E+01   -0.7315036240E+01    0.4170332526E+00
   -0.6394871774E+01   -0.6927470445E+01    0.5325986712E+00
   -0.1054975115E+02   -0.9252865214E+01   -0.1296885933E+01
   -0.6373662448E+01   -0.6927470445E+01    0.5538079970E+00
   -0.6749555664E+01   -0.6927470445E+01    0.1779147810E+00
   -0.8623665436E+01   -0.9252865214E+01    0.6291997783E+00
   -0.6507302713E+01   -0.6927470445E+01    0.4201677326E+00
   -0.7120824745E+01   -0.7315036240E+01    0.1942114954E+00
   -0.8625335350E+01   -0.9252865214E+01    0.6275298642E+00
   -0.9408791311E+01   -0.7960979231E+01   -0.1447812079E+01
   -0.7014895155E+01   -0.7960979231E+01    0.9460840770E+00
   -0.6832555046E+01   -0.7315036240E+01    0.4824811937E+00
   -0.6268008875E+01   -0.6927470445E+01    0.6594615701E+00
   -0.6385930370E+01   -0.6927470445E+01    0.5415400755E+00
   -0.6577948061E+01   -0.6927470445E+01    0.3495223838E+00
   -0.8896259826E+01   -0.9252865214E+01    0.3566053886E+00
   -0.7862267224E+01   -0.7315036240E+01   -0.5472309836E+00
   -0.8302081812E+01   -0.9252865214E+01    0.9507834024E+00
   -0.7571343657E+01   -0.6927470445E+01   -0.6438732120E+00
   -0.6552110866E+01   -0.7315036240E+01    0.7629253743E+00
   -0.8269552169E+01   -0.7315036240E+01   -0.9545159284E+00
   -0.7998399398E+01   -0.9252865214E+01    0.1254465816E+01
   -0.6184612498E+01   -0.7315036240E+01    0.1130423742E+01
   -0.8456568570E+01   -0.7960979231E+01   -0.4955893381E+00
   -0.7889384852E+01   -0.7960979231E+01    0.7159437933E-01
   -0.7881410328E+01   -0.7960979231E+01    0.7956890325E-01
   -0.9358840380E+01   -0.7960979231E+01   -0.1397861149E+01
   -0.7046327929E+01   -0.7315036240E+01    0.2687083113E+00
   -0.6846001883E+01   -0.7960979231E+01    0.1114977349E+01
   -0.8477011402E+01   -0.7960979231E+01   -0.5160321703E+00
   -0.7322816281E+01   -0.9252865214E+01    0.1930048933E+01
   -0.6679345618E+01   -0.7315036240E+01    0.6356906221E+00
   -0.6679982459E+01   -0.6927470445E+01    0.2474879860E+00
   -0.9038069151E+01   -0.7315036240E+01   -0.1723032911E+01
   -0.8249458757E+01   -0.7960979231E+01   -0.2884795253E+00
   -0.7499790958E+01   -0.7315036240E+01   -0.1847547180E+00
   -0.6427986980E+01   -0.6927470445E+01    0.4994834656E+00
   -0.7389022101E+01   -0.7960979231E+01    0.5719571310E+00
   -0.8537395899E+01   -0.9252865214E+01    0.7154693155E+00
   -0.9042286787E+01   -0.9252865214E+01    0.2105784273E+00
   -0.7387890055E+01   -0.6927470445E+01   -0.4604196101E+00
   -0.7163938684E+01   -0.7315036240E+01    0.1510975557E+00
   -0.8976059076E+01   -0.9252865214E+01    0.2768061380E+00
   -0.7460618914E+01   -0.7960979231E+01    0.5003603174E+00
   -0.7867214506E+01   -0.7315036240E+01   -0.5521782661E+00
   -0.8487634389E+01   -0.7960979231E+01   -0.5266551577E+00
   -0.6303985910E+01   -0.6927470445E+01    0.6234845357E+00
   -0.9121414163E+01   -0.7960979231E+01   -0.1160434931E+01
   -0.6898201066E+01   -0.7315036240E+01    0.4168351739E+00
   -0.9405139450E+01   -0.9252865214E+01   -0.1522742360E+00
   -0.7618455619E+01   -0.7960979231E+01    0.3425236127E+00
   -0.9965362956E+01   -0.9252865214E+01   -0.7124977420E+00
   -0.6030246956E+01   -0.6927470445E+01    0.8972234890E+00
   -0.6554777160E+01   -0.6927470445E+01    0.3726932854E+00
   -0.7002505616E+01   -0.7315036240E+01    0.3125306246E+00
   -0.7457841617E+01   -0.6927470445E+01   -0.5303711714E+00
   -0.7328131000E+01   -0.7960979231E+01    0.6328482317E+00
   -0.6962528305E+01   -0.7960979231E+01    0.9984509267E+00
   -0.6948264822E+01   -0.7315036240E+01    0.3667714178E+00
   -0.9055047488E+01   -0.9252865214E+01    0.1978177267E+00
   -0.7403363937E+01   -0.6927470445E+01   -0.4758934917E+00
   -0.6987664662E+01   -0.7315036240E+01    0.3273715779E+00
   -0.7625605072E+01   -0.7960979231E+01    0.3353741593E+00
   -0.7509052806E+01   -0.7315036240E+01   -0.1940165658E+00
Prediction RMSE and MaxAE:         0.7025235814        1.9300489335
